No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
1231;17,164689;31.13.68.60;192.168.1.9;TLSv1.2;286;Application Data;;;17,164689;17,218282;0,053593;0,04708;0,006513;-0,040567
1232;17,218282;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=245 Ack=2174 Win=2484 Len=0;;;17,218282;17,224795;0,006513;-0,048693;0,055206;0,103899
1233;17,224795;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;17,224795;17,280001;0,055206;-0,74955;0,804756;1,554306
1234;17,280001;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=245 Ack=2352 Win=2483 Len=0;;;17,280001;18,084757;0,804756;0,756228;0,048528;-0,7077
1242;18,084757;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;18,084757;18,133285;0,048528;-4,491609;4,540137;9,031746
1243;18,133285;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=245 Ack=2530 Win=2482 Len=0;;;18,133285;22,673422;4,540137;4,539717;0,00042;-4,539297
1716;22,673422;31.13.68.60;192.168.1.9;TLSv1.2;151;Application Data;;;22,673422;22,673842;0,00042;0,000312;0,000108;-0,000204
1717;22,673842;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;22,673842;22,67395;0,000108;-0,01853;0,018638;0,037168
1718;22,67395;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;22,67395;22,692588;0,018638;0,018638;0;-0,018638
1723;22,692588;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=2627 Ack=280 Win=546 Len=0;;;22,692588;22,692588;0;-2,559575;2,559575;5,11915
1724;22,692588;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=2627 Ack=315 Win=546 Len=0;;;22,692588;25,252163;2,559575;2,508647;0,050928;-2,457719
1726;25,252163;31.13.68.60;192.168.1.9;TLSv1.2;270;Application Data;;;25,252163;25,303091;0,050928;-3,984426;4,035354;8,01978
1727;25,303091;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=315 Ack=2843 Win=2481 Len=0;;;25,303091;29,338445;4,035354;4,01079;0,024564;-3,986226
1978;29,338445;192.168.1.9;172.217.194.188;TCP;55;49717  >  5228 [ACK] Seq=1 Ack=1 Win=511 Len=1;;;29,338445;29,363009;0,024564;-10,314591;10,339155;20,653746
1979;29,363009;172.217.194.188;192.168.1.9;TCP;66;5228  >  49717 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;29,363009;39,702164;10,339155;10,338715;0,00044;-10,338275
2473;39,702164;31.13.68.60;192.168.1.9;TLSv1.2;286;Application Data;;;39,702164;39,702604;0,00044;0,000326;0,000114;-0,000212
2474;39,702604;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;39,702604;39,702718;0,000114;-0,000611;0,000725;0,001336
2475;39,702718;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;39,702718;39,703443;0,000725;-0,016683;0,017408;0,034091
2476;39,703443;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;39,703443;39,720851;0,017408;0,017408;0;-0,017408
2477;39,720851;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3253 Ack=350 Win=546 Len=0;;;39,720851;39,720851;0;-0,033734;0,033734;0,067468
